[U1, U2, U3] 
[  1.77955972e-05  -7.46697266e+02   7.12988281e+00]
[ -1.73894350e-05  -7.46697266e+02  -7.12983942e+00]
[  1.83163211e-05  -7.93743347e+02   7.34587288e+00]
[ -1.79195267e-05  -7.93743347e+02  -7.34582853e+00]
[  1.88095401e-05  -8.42191101e+02   7.56117630e+00]
[ -1.84136425e-05  -8.42191101e+02  -7.56113052e+00]
[  1.93412070e-05  -8.92036011e+02   7.77576208e+00]
[ -1.89542097e-05  -8.92036011e+02  -7.77571440e+00]
[  1.98398775e-05  -9.43273254e+02   7.98959923e+00]
[ -1.94550103e-05  -9.43273254e+02  -7.98955011e+00]
[  2.03818054e-05  -9.95897888e+02   8.20265484e+00]
[ -2.00055983e-05  -9.95897888e+02  -8.20260525e+00]
[  2.08836700e-05  -1.04990479e+03   8.41489697e+00]
[ -2.05107535e-05  -1.04990479e+03  -8.41484547e+00]
[  2.14340798e-05  -1.10528845e+03   8.62628937e+00]
[ -2.10697890e-05  -1.10528845e+03  -8.62623692e+00]
[  2.19363355e-05  -1.16204333e+03   8.83679867e+00]
[ -2.15764412e-05  -1.16204333e+03  -8.83674335e+00]
[  2.24930045e-05  -1.22016357e+03   9.04638577e+00]
[ -2.21418759e-05  -1.22016357e+03  -9.04632950e+00]
[  2.29923353e-05  -1.27964294e+03   9.25501442e+00]
[ -2.26467037e-05  -1.27964294e+03  -9.25495720e+00]
[  2.35516618e-05  -1.34047510e+03   9.46264458e+00]
[ -2.32150960e-05  -1.34047510e+03  -9.46258640e+00]
[  2.40430927e-05  -1.40265356e+03   9.66923618e+00]
[ -2.37131189e-05  -1.40265356e+03  -9.66917610e+00]
[  2.46003965e-05  -1.46617126e+03   9.87474728e+00]
[ -2.42799397e-05  -1.46617126e+03  -9.87468529e+00]
[  2.50772355e-05  -1.53102112e+03   1.00791340e+01]
[ -2.47644984e-05  -1.53102112e+03  -1.00790701e+01]
[  2.56263320e-05  -1.59719580e+03   1.02823515e+01]
[ -2.53236994e-05  -1.59719580e+03  -1.02822866e+01]
[  2.60807446e-05  -1.66468738e+03   1.04843540e+01]
[ -2.57870106e-05  -1.66468738e+03  -1.04842873e+01]
[  2.66139086e-05  -1.73348792e+03   1.06850920e+01]
[ -2.63310085e-05  -1.73348792e+03  -1.06850243e+01]
[  2.70355176e-05  -1.80358887e+03   1.08845177e+01]
[ -2.67627493e-05  -1.80358887e+03  -1.08844481e+01]
[  2.75427537e-05  -1.87498169e+03   1.10825777e+01]
[ -2.72816869e-05  -1.87498169e+03  -1.10825071e+01]
[  2.79198557e-05  -1.94765735e+03   1.12792196e+01]
[ -2.76702376e-05  -1.94765735e+03  -1.12791471e+01]
[  2.83897407e-05  -2.02160632e+03   1.14743881e+01]
[ -2.81528119e-05  -2.02160632e+03  -1.14743137e+01]
[  2.87078710e-05  -2.09681885e+03   1.16680260e+01]
[ -2.84837897e-05  -2.09681885e+03  -1.16679506e+01]
[  2.91261695e-05  -2.17328491e+03   1.18600740e+01]
[ -2.89158870e-05  -2.17328491e+03  -1.18599968e+01]
[  2.93676003e-05  -2.25099390e+03   1.20504704e+01]
[ -2.91716860e-05  -2.25099390e+03  -1.20503922e+01]
[  2.97170263e-05  -2.32993506e+03   1.22391529e+01]
[ -2.95361569e-05  -2.32993506e+03  -1.22390718e+01]
[  2.98609975e-05  -2.41009668e+03   1.24260540e+01]
[ -2.96961243e-05  -2.41009668e+03  -1.24259720e+01]
[  3.01205764e-05  -2.49146729e+03   1.26111059e+01]
[ -2.99721069e-05  -2.49146729e+03  -1.26110220e+01]
[  3.01421769e-05  -2.57403418e+03   1.27942381e+01]
[ -3.00114989e-05  -2.57403418e+03  -1.27941532e+01]
[  3.02865992e-05  -2.65778516e+03   1.29753780e+01]
[ -3.01738219e-05  -2.65778516e+03  -1.29752903e+01]
[  3.01562377e-05  -2.74270703e+03   1.31544485e+01]
[ -3.00632146e-05  -2.74270703e+03  -1.31543598e+01]
[  3.01560467e-05  -2.82878564e+03   1.33313713e+01]
[ -3.00825468e-05  -2.82878564e+03  -1.33312807e+01]
[  2.98391096e-05  -2.91600684e+03   1.35060654e+01]
[ -2.97874958e-05  -2.91600684e+03  -1.35059738e+01]
[  2.96591770e-05  -3.00435620e+03   1.36784458e+01]
[ -2.96288508e-05  -3.00435620e+03  -1.36783524e+01]
[  2.91149736e-05  -3.09381836e+03   1.38484249e+01]
[ -2.91088691e-05  -3.09381836e+03  -1.38483295e+01]
[  2.87132734e-05  -3.18437720e+03   1.40159121e+01]
[ -2.87303392e-05  -3.18437720e+03  -1.40158148e+01]
[  2.78934494e-05  -3.27601611e+03   1.41808128e+01]
[ -2.79372871e-05  -3.27601611e+03  -1.41807137e+01]
[  2.72203160e-05  -3.36871826e+03   1.43430300e+01]
[ -2.72893540e-05  -3.36871826e+03  -1.43429289e+01]
[  2.60688685e-05  -3.46246582e+03   1.45024614e+01]
[ -2.61674795e-05  -3.46246582e+03  -1.45023584e+01]
[  2.50661105e-05  -3.55724023e+03   1.46590033e+01]
[ -2.51920774e-05  -3.55724023e+03  -1.46588993e+01]
[  2.35173211e-05  -3.65302246e+03   1.48125467e+01]
[ -2.36759461e-05  -3.65302246e+03  -1.48124409e+01]
[  2.21159553e-05  -3.74979248e+03   1.49629784e+01]
[ -2.23042243e-05  -3.74979248e+03  -1.49628706e+01]
[  2.00934901e-05  -3.84753003e+03   1.51101818e+01]
[ -2.03177915e-05  -3.84753003e+03  -1.51100721e+01]
[  1.82127751e-05  -3.94621338e+03   1.52540359e+01]
[ -1.84691471e-05  -3.94621338e+03  -1.52539244e+01]
[  1.56267124e-05  -4.04582056e+03   1.53944139e+01]
[ -1.59228348e-05  -4.04582056e+03  -1.53943005e+01]
[  1.31713959e-05  -4.14632812e+03   1.55311871e+01]
[ -1.35021601e-05  -4.14632812e+03  -1.55310717e+01]
[  9.91842990e-06  -4.24771289e+03   1.56642199e+01]
[ -1.02930453e-05  -4.24771289e+03  -1.56641016e+01]
[  6.77828530e-06  -4.34994971e+03   1.57933702e+01]
[ -7.19020545e-06  -4.34994971e+03  -1.57932510e+01]
[  2.73741307e-06  -4.45301318e+03   1.59184952e+01]
[ -3.19763308e-06  -4.45301318e+03  -1.59183741e+01]
[ -1.21818516e-06  -4.55687598e+03   1.60394440e+01]
[  7.17897649e-07  -4.55687598e+03  -1.60393200e+01]
[ -6.18767126e-06  -4.66151074e+03   1.61560574e+01]
[  5.63408639e-06  -4.66151074e+03  -1.61559334e+01]
[ -1.11074514e-05  -4.76688916e+03   1.62681770e+01]
[  1.05109539e-05  -4.76688916e+03  -1.62680492e+01]
[ -1.71680022e-05  -4.87298096e+03   1.63756332e+01]
[  1.65126858e-05  -4.87298096e+03  -1.63755035e+01]
[ -2.32249240e-05  -4.97975586e+03   1.64782524e+01]
[  2.25237745e-05  -4.97975586e+03  -1.64781208e+01]
[ -3.05630965e-05  -5.08718115e+03   1.65758533e+01]
[  2.97969818e-05  -5.08718115e+03  -1.65757179e+01]
[ -3.79555531e-05  -5.19522412e+03   1.66682472e+01]
[  3.71406641e-05  -5.19522412e+03  -1.66681118e+01]
[ -4.67872524e-05  -5.30385010e+03   1.67552414e+01]
[  4.59005823e-05  -5.30385010e+03  -1.67551022e+01]
[ -5.57376734e-05  -5.41302344e+03   1.68366356e+01]
[  5.47990930e-05  -5.41302344e+03  -1.68364944e+01]
[ -6.63100800e-05  -5.52270654e+03   1.69122162e+01]
[  6.52924355e-05  -5.52270654e+03  -1.69120731e+01]
[ -7.70585320e-05  -5.63286133e+03   1.69817715e+01]
[  7.59861941e-05  -5.63286133e+03  -1.69816265e+01]
[ -8.96547645e-05  -5.74344824e+03   1.70450726e+01]
[  8.84977562e-05  -5.74344824e+03  -1.70449238e+01]
[ -1.02445432e-04  -5.85442529e+03   1.71018906e+01]
[  1.01233156e-04  -5.85442529e+03  -1.71017399e+01]
[ -1.17395233e-04  -5.96575000e+03   1.71519756e+01]
[  1.16093674e-04  -5.96575000e+03  -1.71518230e+01]
[ -1.32453817e-04  -6.07737744e+03   1.71950893e+01]
[  1.31079680e-04  -6.07737744e+03  -1.71949329e+01]
[ -1.50183041e-04  -6.18926172e+03   1.72309570e+01]
[  1.48625884e-04  -6.18926172e+03  -1.72307987e+01]
[ -1.67718477e-04  -6.30135449e+03   1.72593231e+01]
[  1.65918522e-04  -6.30135449e+03  -1.72591629e+01]
[ -1.88919803e-04  -6.41360645e+03   1.72798939e+01]
[  1.86527133e-04  -6.41360645e+03  -1.72797298e+01]
[ -2.08431797e-04  -6.52596582e+03   1.72923908e+01]
[  2.05993420e-04  -6.52596582e+03  -1.72922249e+01]
[ -2.01028728e-04  -6.63838037e+03   1.72967548e+01]
[  2.00485665e-04  -6.63838037e+03  -1.72965870e+01]
[  1.54346230e-38   5.60732243e-39   7.94655361e-35]
[  1.52519483e-38   1.42816178e-38  -7.93185993e-35]
[  1.40790144e-06  -7.34161496e-01   2.25896597e-01]
[ -6.38091763e-07  -7.34161377e-01  -2.25895107e-01]
[  2.49955929e-06  -2.93657708e+00   4.51771736e-01]
[ -1.68616430e-06  -2.93657708e+00  -4.51769173e-01]
[  3.46413208e-06  -6.60703993e+00   6.77604675e-01]
[ -2.54848010e-06  -6.60703993e+00  -6.77600801e-01]
[  4.35644506e-06  -1.17452345e+01   9.03382540e-01]
[ -3.53075461e-06  -1.17452345e+01  -9.03377414e-01]
[  5.22428991e-06  -1.83507404e+01   1.12908649e+00]
[ -4.34496906e-06  -1.83507404e+01  -1.12908006e+00]
[  6.01868578e-06  -2.64230289e+01   1.35470188e+00]
[ -5.22766868e-06  -2.64230289e+01  -1.35469413e+00]
[  6.82606105e-06  -3.59614677e+01   1.58021080e+00]
[ -5.97874441e-06  -3.59614677e+01  -1.58020175e+00]
[  7.55315250e-06  -4.69653130e+01   1.80559754e+00]
[ -6.77965818e-06  -4.69653130e+01  -1.80558717e+00]
[  8.30475892e-06  -5.94337158e+01   2.03084469e+00]
[ -7.48474486e-06  -5.94337158e+01  -2.03083277e+00]
[  8.98116014e-06  -7.33657074e+01   2.25593543e+00]
[ -8.22318998e-06  -7.33657074e+01  -2.25592232e+00]
[  9.68682161e-06  -8.87602234e+01   2.48085213e+00]
[ -8.89299463e-06  -8.87602234e+01  -2.48083782e+00]
[  1.03253415e-05  -1.05616074e+02   2.70557785e+00]
[ -9.58402416e-06  -1.05616074e+02  -2.70556211e+00]
[  1.09955063e-05  -1.23931953e+02   2.93009424e+00]
[ -1.02270678e-05  -1.23931953e+02  -2.93007731e+00]
[  1.16064375e-05  -1.43706451e+02   3.15438390e+00]
[ -1.08827981e-05  -1.43706451e+02  -3.15436554e+00]
[  1.22504352e-05  -1.64938034e+02   3.37842822e+00]
[ -1.15068215e-05  -1.64938034e+02  -3.37840843e+00]
[  1.28421361e-05  -1.87625031e+02   3.60220838e+00]
[ -1.21371222e-05  -1.87625031e+02  -3.60218716e+00]
[  1.34681313e-05  -2.11765686e+02   3.82570553e+00]
[ -1.27490785e-05  -2.11765686e+02  -3.82568312e+00]
[  1.40475240e-05  -2.37358078e+02   4.04890013e+00]
[ -1.33621279e-05  -2.37358078e+02  -4.04887629e+00]
[  1.46626198e-05  -2.64400177e+02   4.27177286e+00]
[ -1.39681460e-05  -2.64400177e+02  -4.27174759e+00]
[  1.52354405e-05  -2.92889832e+02   4.49430275e+00]
[ -1.45707218e-05  -2.92889832e+02  -4.49427652e+00]
[  1.58457460e-05  -3.22824768e+02   4.71646976e+00]
[ -1.51761342e-05  -3.22824768e+02  -4.71644211e+00]
[  1.64167759e-05  -3.54202515e+02   4.93825245e+00]
[ -1.57738941e-05  -3.54202515e+02  -4.93822336e+00]
[  1.70275925e-05  -3.87020538e+02   5.15962934e+00]
[ -1.63833956e-05  -3.87020538e+02  -5.15959835e+00]
[  1.76005287e-05  -4.21276123e+02   5.38057756e+00]
[ -1.69807718e-05  -4.21276123e+02  -5.38054562e+00]
[  1.82162457e-05  -4.56966370e+02   5.60107517e+00]
[ -1.75982568e-05  -4.56966370e+02  -5.60104179e+00]
[  1.87941478e-05  -4.94088348e+02   5.82109833e+00]
[ -1.81989308e-05  -4.94088348e+02  -5.82106400e+00]
[  1.94182740e-05  -5.32638794e+02   6.04062319e+00]
[ -1.88275426e-05  -5.32638794e+02  -6.04058743e+00]
[  2.00032810e-05  -5.72614502e+02   6.25962496e+00]
[ -1.94341683e-05  -5.72614502e+02  -6.25958776e+00]
[  2.06387704e-05  -6.14011902e+02   6.47807837e+00]
[ -2.00765862e-05  -6.14011902e+02  -6.47803926e+00]
[  2.12322175e-05  -6.56827393e+02   6.69595718e+00]
[ -2.06909717e-05  -6.56827393e+02  -6.69591665e+00]
[  2.18810092e-05  -7.01057129e+02   6.91323423e+00]
[ -2.13489220e-05  -7.01057129e+02  -6.91319227e+00]
[  2.24834130e-05  -7.46697144e+02   7.12988234e+00]
[ -2.19719623e-05  -7.46697144e+02  -7.12983894e+00]
[  2.31467166e-05  -7.93743225e+02   7.34587240e+00]
[ -2.26465436e-05  -7.93743225e+02  -7.34582806e+00]
[  2.37572604e-05  -8.42190979e+02   7.56117582e+00]
[ -2.32777820e-05  -8.42190979e+02  -7.56112957e+00]
[  2.44356233e-05  -8.92035828e+02   7.77576160e+00]
[ -2.39694309e-05  -8.92035828e+02  -7.77571392e+00]
[  2.50532576e-05  -9.43273132e+02   7.98959827e+00]
[ -2.46081199e-05  -9.43273132e+02  -7.98954964e+00]
[  2.57463362e-05  -9.95897766e+02   8.20265484e+00]
[ -2.53164781e-05  -9.95897766e+02  -8.20260429e+00]
[  2.63681031e-05  -1.04990466e+03   8.41489601e+00]
[ -2.59599747e-05  -1.04990466e+03  -8.41484451e+00]
[  2.70741548e-05  -1.10528833e+03   8.62628937e+00]
[ -2.66832831e-05  -1.10528833e+03  -8.62623596e+00]
[  2.76967530e-05  -1.16204321e+03   8.83679771e+00]
[ -2.73285168e-05  -1.16204321e+03  -8.83674335e+00]
[  2.84133312e-05  -1.22016333e+03   9.04638577e+00]
[ -2.80643835e-05  -1.22016333e+03  -9.04632950e+00]
[  2.90312091e-05  -1.27964270e+03   9.25501442e+00]
[ -2.87060629e-05  -1.27964270e+03  -9.25495625e+00]
[  2.97549668e-05  -1.34047498e+03   9.46264458e+00]
[ -2.94511919e-05  -1.34047498e+03  -9.46258545e+00]
[  3.03616616e-05  -1.40265332e+03   9.66923618e+00]
[ -3.00830870e-05  -1.40265332e+03  -9.66917515e+00]
[  3.10874748e-05  -1.46617114e+03   9.87474728e+00]
[ -3.08324670e-05  -1.46617114e+03  -9.87468529e+00]
[  3.16742626e-05  -1.53102100e+03   1.00791330e+01]
[ -3.14460776e-05  -1.53102100e+03  -1.00790701e+01]
[  3.23956847e-05  -1.59719568e+03   1.02823515e+01]
[ -3.21933876e-05  -1.59719568e+03  -1.02822857e+01]
[  3.29515678e-05  -1.66468726e+03   1.04843531e+01]
[ -3.27779453e-05  -1.66468726e+03  -1.04842863e+01]
[  3.36603844e-05  -1.73348767e+03   1.06850920e+01]
[ -3.35151162e-05  -1.73348767e+03  -1.06850243e+01]
[  3.41718842e-05  -1.80358875e+03   1.08845167e+01]
[ -3.40574006e-05  -1.80358875e+03  -1.08844471e+01]
[  3.48573085e-05  -1.87498157e+03   1.10825777e+01]
[ -3.47738096e-05  -1.87498157e+03  -1.10825062e+01]
[  3.53080904e-05  -1.94765710e+03   1.12792196e+01]
[ -3.52577044e-05  -1.94765710e+03  -1.12791471e+01]
[  3.59577753e-05  -2.02160608e+03   1.14743881e+01]
[ -3.59411824e-05  -2.02160608e+03  -1.14743137e+01]
[  3.63283179e-05  -2.09681860e+03   1.16680260e+01]
[ -3.63474028e-05  -2.09681860e+03  -1.16679497e+01]
[  3.69264526e-05  -2.17328491e+03   1.18600740e+01]
[ -3.69823792e-05  -2.17328491e+03  -1.18599968e+01]
[  3.71927090e-05  -2.25099390e+03   1.20504704e+01]
[ -3.72871327e-05  -2.25099390e+03  -1.20503912e+01]
[  3.77207980e-05  -2.32993481e+03   1.22391520e+01]
[ -3.78553341e-05  -2.32993481e+03  -1.22390718e+01]
[  3.78543991e-05  -2.41009644e+03   1.24260530e+01]
[ -3.80304991e-05  -2.41009644e+03  -1.24259710e+01]
[  3.82899598e-05  -2.49146704e+03   1.26111059e+01]
[ -3.85097082e-05  -2.49146704e+03  -1.26110220e+01]
[  3.82567305e-05  -2.57403418e+03   1.27942381e+01]
[ -3.85213716e-05  -2.57403418e+03  -1.27941523e+01]
[  3.85727290e-05  -2.65778516e+03   1.29753780e+01]
[ -3.88849076e-05  -2.65778516e+03  -1.29752903e+01]
[  3.83316074e-05  -2.74270679e+03   1.31544485e+01]
[ -3.86922802e-05  -2.74270679e+03  -1.31543598e+01]
[  3.84971463e-05  -2.82878540e+03   1.33313713e+01]
[ -3.89095185e-05  -2.82878540e+03  -1.33312817e+01]
[  3.80004676e-05  -2.91600659e+03   1.35060654e+01]
[ -3.84652303e-05  -2.91600659e+03  -1.35059738e+01]
[  3.79779012e-05  -3.00435596e+03   1.36784458e+01]
[ -3.84989144e-05  -3.00435596e+03  -1.36783524e+01]
[  3.71681272e-05  -3.09381812e+03   1.38484259e+01]
[ -3.77457400e-05  -3.09381812e+03  -1.38483295e+01]
[  3.69134468e-05  -3.18437695e+03   1.40159130e+01]
[ -3.75522213e-05  -3.18437695e+03  -1.40158157e+01]
[  3.57225181e-05  -3.27601587e+03   1.41808138e+01]
[ -3.64224070e-05  -3.27601587e+03  -1.41807146e+01]
[  3.51840972e-05  -3.36871802e+03   1.43430309e+01]
[ -3.59504993e-05  -3.36871802e+03  -1.43429298e+01]
[  3.35323093e-05  -3.46246558e+03   1.45024624e+01]
[ -3.43646498e-05  -3.46246558e+03  -1.45023603e+01]
[  3.26504924e-05  -3.55723999e+03   1.46590042e+01]
[ -3.35551813e-05  -3.55723999e+03  -1.46589003e+01]
[  3.04426867e-05  -3.65302222e+03   1.48125477e+01]
[ -3.14185199e-05  -3.65302222e+03  -1.48124418e+01]
[  2.91468186e-05  -3.74979248e+03   1.49629803e+01]
[ -3.02013141e-05  -3.74979248e+03  -1.49628725e+01]
[  2.62707126e-05  -3.84752979e+03   1.51101837e+01]
[ -2.74018948e-05  -3.84752979e+03  -1.51100740e+01]
[  2.44790426e-05  -3.94621313e+03   1.52540379e+01]
[ -2.56957792e-05  -3.94621313e+03  -1.52539263e+01]
[  2.08022338e-05  -4.04582031e+03   1.53944168e+01]
[ -2.21015725e-05  -4.04582031e+03  -1.53943033e+01]
[  1.84203400e-05  -4.14632812e+03   1.55311899e+01]
[ -1.98127545e-05  -4.14632812e+03  -1.55310745e+01]
[  1.37850284e-05  -4.24771289e+03   1.56642227e+01]
[ -1.52664252e-05  -4.24771289e+03  -1.56641054e+01]
[  1.07012802e-05  -4.34994971e+03   1.57933741e+01]
[ -1.22838592e-05  -4.34994971e+03  -1.57932549e+01]
[  4.92213712e-06  -4.45301270e+03   1.59184999e+01]
[ -6.60030901e-06  -4.45301270e+03  -1.59183779e+01]
[  1.00821831e-06  -4.55687598e+03   1.60394478e+01]
[ -2.79647952e-06  -4.55687598e+03  -1.60393238e+01]
[ -6.13778457e-06  -4.66151074e+03   1.61560631e+01]
[  4.24677728e-06  -4.66151074e+03  -1.61559372e+01]
[ -1.10327846e-05  -4.76688916e+03   1.62681828e+01]
[  9.02201737e-06  -4.76688916e+03  -1.62680550e+01]
[ -1.98111356e-05  -4.87298145e+03   1.63756409e+01]
[  1.76901503e-05  -4.87298145e+03  -1.63755112e+01]
[ -2.58621858e-05  -4.97975586e+03   1.64782600e+01]
[  2.36106953e-05  -4.97975586e+03  -1.64781265e+01]
[ -3.65986343e-05  -5.08718164e+03   1.65758610e+01]
[  3.42291314e-05  -5.08718164e+03  -1.65757275e+01]
[ -4.40123440e-05  -5.19522461e+03   1.66682549e+01]
[  4.15005015e-05  -5.19522461e+03  -1.66681194e+01]
[ -5.71092496e-05  -5.30385059e+03   1.67552509e+01]
[  5.44713330e-05  -5.30385059e+03  -1.67551136e+01]
[ -6.61299928e-05  -5.41302344e+03   1.68366432e+01]
[  6.33366217e-05  -5.41302344e+03  -1.68365040e+01]
[ -8.20906353e-05  -5.52270703e+03   1.69122295e+01]
[  7.91627972e-05  -5.52270703e+03  -1.69120846e+01]
[ -9.30232709e-05  -5.63286230e+03   1.69817810e+01]
[  8.99270162e-05  -5.63286230e+03  -1.69816360e+01]
[ -1.12494970e-04  -5.74344873e+03   1.70450878e+01]
[  1.09254674e-04  -5.74344873e+03  -1.70449390e+01]
[ -1.25711347e-04  -5.85442627e+03   1.71019020e+01]
[  1.22299913e-04  -5.85442627e+03  -1.71017513e+01]
[ -1.49590996e-04  -5.96575098e+03   1.71519966e+01]
[  1.46004546e-04  -5.96575098e+03  -1.71518440e+01]
[ -1.65596924e-04  -6.07737842e+03   1.71951008e+01]
[  1.61841876e-04  -6.07737842e+03  -1.71949444e+01]
[ -1.95155051e-04  -6.18926270e+03   1.72309837e+01]
[  1.91097468e-04  -6.18926270e+03  -1.72308254e+01]
[ -2.14793836e-04  -6.30135596e+03   1.72593346e+01]
[  2.10281636e-04  -6.30135596e+03  -1.72591743e+01]
[ -2.51605961e-04  -6.41360791e+03   1.72799301e+01]
[  2.46941927e-04  -6.41360791e+03  -1.72797680e+01]
[ -2.76646228e-04  -6.52596729e+03   1.72924004e+01]
[  2.70478806e-04  -6.52596729e+03  -1.72922325e+01]
[ -3.48879665e-04  -6.63838184e+03   1.72968044e+01]
[  3.47052905e-04  -6.63838184e+03  -1.72966309e+01]
