[U1, U2, U3] 
[  3.60091944e-05  -3.36871802e+03  -1.43429298e+01]
[ -3.28761962e-05  -3.46246558e+03   1.45024624e+01]
[  3.44288419e-05  -3.46246558e+03  -1.45023603e+01]
[ -3.19830979e-05  -3.55723999e+03   1.46590042e+01]
[  3.36246449e-05  -3.55723999e+03  -1.46589003e+01]
[ -2.97640308e-05  -3.65302222e+03   1.48125477e+01]
[  3.14933932e-05  -3.65302222e+03  -1.48124418e+01]
[ -2.84571324e-05  -3.74979248e+03   1.49629803e+01]
[  3.02818262e-05  -3.74979248e+03  -1.49628725e+01]
[ -2.55700925e-05  -3.84752979e+03   1.51101837e+01]
[  2.74882350e-05  -3.84752979e+03  -1.51100740e+01]
[ -2.37675995e-05  -3.94621313e+03   1.52540379e+01]
[  2.57880802e-05  -3.94621313e+03  -1.52539263e+01]
[ -2.00798386e-05  -4.04582031e+03   1.53944168e+01]
[  2.21997325e-05  -4.04582031e+03  -1.53943033e+01]
[ -1.76872072e-05  -4.14632812e+03   1.55311899e+01]
[  1.99170572e-05  -4.14632812e+03  -1.55310745e+01]
[ -1.30411536e-05  -4.24771289e+03   1.56642227e+01]
[  1.53768597e-05  -4.24771289e+03  -1.56641054e+01]
[ -9.94680613e-06  -4.34994971e+03   1.57933741e+01]
[  1.24006410e-05  -4.34994971e+03  -1.57932549e+01]
[ -4.15726754e-06  -4.45301270e+03   1.59184999e+01]
[  6.72361239e-06  -4.45301270e+03  -1.59183779e+01]
[ -2.32804609e-07  -4.55687598e+03   1.60394478e+01]
[  2.92624827e-06  -4.55687598e+03  -1.60393238e+01]
[  6.92362846e-06  -4.66151074e+03   1.61560631e+01]
[ -4.11048950e-06  -4.66151074e+03  -1.61559372e+01]
[  1.18287380e-05  -4.76688916e+03   1.62681828e+01]
[ -8.87878741e-06  -4.76688916e+03  -1.62680550e+01]
[  2.06174154e-05  -4.87298145e+03   1.63756409e+01]
[ -1.75402820e-05  -4.87298145e+03  -1.63755112e+01]
[  2.66787702e-05  -4.97975586e+03   1.64782600e+01]
[ -2.34540657e-05  -4.97975586e+03  -1.64781265e+01]
[  3.74251285e-05  -5.08718164e+03   1.65758610e+01]
[ -3.40654187e-05  -5.08718164e+03  -1.65757275e+01]
[  4.48486353e-05  -5.19522461e+03   1.66682549e+01]
[ -4.13295311e-05  -5.19522461e+03  -1.66681194e+01]
[  5.79551524e-05  -5.30385059e+03   1.67552509e+01]
[ -5.42929556e-05  -5.30385059e+03  -1.67551136e+01]
[  6.69857764e-05  -5.41302344e+03   1.68366432e+01]
[ -6.31511284e-05  -5.41302344e+03  -1.68365040e+01]
[  8.29560013e-05  -5.52270703e+03   1.69122295e+01]
[ -7.89698533e-05  -5.52270703e+03  -1.69120865e+01]
[  9.38982121e-05  -5.63286230e+03   1.69817810e+01]
[ -8.97266364e-05  -5.63286230e+03  -1.69816360e+01]
[  1.13379254e-04  -5.74344873e+03   1.70450878e+01]
